Day,Susceptible,Confirmed,Recovered,Deaths
204,203447193,4853148,4299659,144851
205,203414375,4885966,4299659,145505
206,203329918,4908974,4361108,146093
207,203306957,4917689,4375354,146451
208,203258376,4943742,4397882,146844
209,203194392,4975268,4430340,147654
210,203136622,5006206,4457172,148379
211,203078872,5033036,4488092,149114
212,203036377,5060769,4502854,149768
213,203012633,5084513,4502854,150302
214,202976903,5096704,4526393,150580
215,202968267,5105340,4526393,150774
216,202954908,5118699,4526393,151152
217,202927064,5146543,4526393,151884
218,202896638,5176969,4526393,152698
219,202868042,5205565,4526393,153341
220,202847266,5226341,4526393,153756
221,202835215,5238392,4526393,153991
222,202818636,5254971,4526393,154317
223,202794870,5278737,4526393,154965
224,202769014,5304593,4526393,155536
225,202744250,5329357,4526393,156041
226,202714249,5359358,4526393,156604
227,202689265,5384342,4526393,156991
228,202677011,5396596,4526393,157224
229,202658400,5415207,4526393,157526
230,202240078,5445189,4914733,158052
231,202178683,5473540,4947777,158556
232,202137186,5500240,4962574,159107
233,202087972,5524593,4987435,159680
234,202057076,5537763,5005161,159972
235,202029711,5547951,5022338,160175
236,202004362,5556200,5039438,160340
237,201968521,5570782,5060697,160628
238,201927740,5594098,5078162,161246
239,201903895,5617943,5078162,161849
240,201843701,5638143,5118156,162120
241,201805472,5655887,5138641,162348
242,201786439,5666389,5147172,162538
243,201756971,5679803,5163226,162724
244,201689803,5726227,5183970,162922
245,201624589,5752474,5222937,163496
246,201559150,5786393,5254457,164429
247,201500077,5825111,5274812,165005
248,201469159,5851389,5279452,165739
249,201455253,5865295,5279452,165879
250,201383463,5881039,5335498,166136
